IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
91,"FC100-AD_.7Q._",400,50,0,670,2200,4.2,19900.83,34644.63,19900.83,21355.37,22809.92,24330.58,25785.12,27305.79,28760.33,30214.88,31669.42,33190.08,34644.63,138.48,136.3,131.31,123.82,114.46,101.36,84.83,70.18000000000001,47.41,25.26,0.62,0,0
92,"FC100-AD_.7Q._",400,50,1,530,1500,2.7,16066.12,28892.56,16066.12,17256.2,18644.63,19834.71,21157.03,22479.34,23735.54,24991.73,26314.05,27570.25,28892.56,74.54000000000001,71.42,66.43000000000001,60.82,55.52,47.41,39.61,31.5,22.46,13.1,0.31,0,0
93,"FC100-MD_.7M._",400,50,0,530,1250,2.7,16660.12,28949.59,16660.12,17862.03,19114.45,20266.94,21519.86,22723.1,23977.1,25231.6,26486.68,27642.59,28949.59,93.09999999999999,88.64,83,77.17,70.37,62.79,53.46,42.97,31.11,17.3,0.97,0,0
94,"FC100-MD_.7M._",400,50,1,390,810,1.55,13128.55,23199.68,13128.55,14079.88,15081.38,16083.12,17085.04,18086.95,19139.03,20091.36,21143.69,22196.61,23199.68,50.09,46.98,43.48,39.4,34.94,30.47,25.61,20.17,14.73,7.93,0.73,0,0
95,"FC112-AD_.7Q._",400,50,0,620,3050,5.2,27399.65,45549.74,27399.65,29232.11,31064.57,32809.77,34642.23,36474.69,38219.9,40052.36,41797.56,43630.02,45549.74,147.41,138.8,129.52,118.59,105.34,92.09,76.19,58.63,41.41,20.87,0.33,0,0
96,"FC112-AD_.7Q._",400,50,1,440,1750,2.9,21553.23,33769.63,21553.23,22774.87,23909.25,25218.15,26352.53,27661.43,28795.81,30104.71,31239.09,32460.73,33769.63,63.6,57.31,52.01,47.04,41.08,34.78,28.82,23.52,16.56,9.609999999999999,0.66,0,0
97,"FC112-MD_.7M._",400,50,0,510,1600,3.6,21523.5,36781.73,21523.5,23032.12,24605.89,26047.74,27554.86,29192.47,30632.6,32138.09,33708.29,35212.71,36781.73,82.55,78.84,74.15000000000001,68.48999999999999,62.05,54.05,45.27,35.91,24.79,13.47,0.21,0,0
98,"FC112-MD_.7M._",400,50,1,360,940,1.95,15392.82,28243.05,15392.82,16639.47,17951.69,19263.49,20509.49,21820.96,23132,24311.78,25622.06,26933.2,28243.05,42.23,39.88,37.34,34.02,30.5,26.6,21.91,17.43,11.38,6.89,0.06,0,0
99,"FC112-ND_.7M._",400,50,0,420,970,2.3,17171.05,30986.84,17171.05,18486.84,19934.21,21250,22697.37,24013.16,25460.53,26842.11,28223.69,29605.26,30986.84,60.97,58.48,55.52,51.46,46.63,40.86,34.46,27.45,18.87,9.82,0.31,0,0
100,"FC112-ND_.7M._",400,50,1,300,550,1.15,12368.42,23552.63,12368.42,13486.84,14539.47,15657.89,16776.32,17960.53,19013.16,20197.37,21315.79,22434.21,23552.63,31.03,29.47,27.76,25.73,23.08,20.27,17,13.57,9.359999999999999,5.46,0.31,0,0
