IdFanModel,Model,Voltage,Frequency,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
117,"FC040-6D_.2F._",400,50,920,110,0.28,2120.33,3134.08,0,0,0,0,0,0,0
118,"FC040-6D_.2F._",230,50,810,73,0.24,1761.93,2692.73,0,0,0,0,0,0,0
119,"FC040-6D_.2F._",180,50,680,57,0.23,1425.97,2100.56,0,0,0,0,0,0,0
120,"FC040-6D_.2F._",140,50,540,41,0.21,2468.79,3523.15,0,0,0,0,0,0,0
121,"FC040-6E_.2F._",230,50,940,130,0.6,2468.79,3523.15,0,0,0,0,0,0,0
122,"FC040-6E_.2F._",160,50,860,91,0.58,2246.14,3294.16,0,0,0,0,0,0,0
123,"FC040-6E_.2F._",130,50,720,76,0.61,1911.83,2862.76,0,0,0,0,0,0,0
124,"FC040-6E_.2F._",105,50,490,54,0.5600000000000001,1306.28,1936.08,0,0,0,0,0,0,0
125,"FC045-4D_.4C._",400,50,1390,360,0.75,3819.19,6357.36,0,0,0,0,0,0,0
126,"FC045-4D_.4C._",230,50,1150,270,0.75,3184.58,5602.74,0,0,0,0,0,0,0
127,"FC045-4D_.4C._",180,50,950,210,0.74,2625.16,4701.66,0,0,0,0,0,0,0
128,"FC045-4D_.4C._",140,50,750,140,0.66,2001.14,3763.38,0,0,0,0,0,0,0
129,"FC045-4E_.4C._",230,50,1370,360,1.6,3714.46,6310.29,0,0,0,0,0,0,0
130,"FC045-4E_.4C._",160,50,1060,300,1.95,2790.85,5561.68,0,0,0,0,0,0,0
131,"FC045-4E_.4C._",130,50,700,210,1.75,1833.03,3705.46,0,0,0,0,0,0,0
132,"FC045-4E_.4C._",105,50,530,135,1.5,1264.1,2524.39,0,0,0,0,0,0,0
133,"FC045-6D_.4C._",400,50,940,125,0.35,2519.92,4220.41,0,0,0,0,0,0,0
134,"FC045-6D_.4C._",230,50,790,92,0.32,2213.63,3808.03,0,0,0,0,0,0,0
135,"FC045-6D_.4C._",180,50,620,68,0.31,1704.3,3084.78,0,0,0,0,0,0,0
136,"FC045-6D_.4C._",140,50,470,44,0.27,1303.62,2405.95,0,0,0,0,0,0,0
137,"FC045-6E_.4C._",230,50,930,170,0.75,2495.89,4247.54,0,0,0,0,0,0,0
