IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
46,"FB050-6E_.4F._S",160,50,2505.01,4045.12,570,190,0.13,2505.01,2656.42,2816.71,2968.11,3110.54,3279.67,3431.03,3573.43,3751.46,3893.83,4045.12,19.66,18.27,16.58,15.09,13.18,10.95,9.140000000000001,7.02,4.68,2.34,0.05,0,0
47,"FB050-6E_.4F._S",130,50,1753.11,2747.54,410,130,0.11,1753.11,1849.64,1938.68,2050.04,2153.96,2250.42,2346.92,2458.22,2539.82,2636.25,2747.54,10.27,9.65,8.67,7.79,6.9,5.84,5.04,3.72,2.65,1.33,-0.02,0,0
48,"FB050-6E_.4F._S",105,50,1247.04,1930.06,280,83,0.91,1247.04,1313.86,1380.69,1454.94,1529.18,1588.58,1655.39,1729.65,1789.01,1863.24,1930.06,5.06,4.62,4.18,3.74,3.2,2.76,2.23,1.79,1.17,0.55,0.01,0,0
49,"FB050-8E_.4C._P",230,50,2627.26,3776.68,680,125,0.58,2627.26,2742.2,2848.93,2972.09,3078.82,3193.76,3308.7,3423.65,3546.8,3661.74,3776.68,26.41,24.85,23,21.15,19.1,16.76,13.94,11.11,7.7,4,0,0,0
50,"FB050-8E_.4C._P",160,50,2167.49,3382.59,560,81,0.55,2167.49,2282.43,2405.58,2536.95,2651.89,2766.83,2906.4,3021.35,3144.5,3267.65,3382.59,18.13,16.96,15.89,14.42,13.06,11.31,9.449999999999999,7.41,5.07,2.44,0,0,0
51,"FB050-8E_.4C._P",130,50,1617.41,2775.04,420,60,0.51,1617.41,1732.35,1847.29,1954.02,2077.18,2183.91,2307.06,2422,2536.95,2660.1,2775.04,10.14,9.449999999999999,8.67,8.09,7.12,6.43,5.26,4.09,3.02,1.46,0,0,0
52,"FB050-8E_.4C._P",105,50,1174.06,1962.23,310,41,0.44,1174.06,1256.16,1330.05,1412.15,1494.25,1559.93,1650.25,1732.35,1806.24,1888.34,1962.23,5.07,4.68,4.39,4.19,3.8,3.31,2.83,2.14,1.66,0.88,0.1,0,0
53,"FB056-6E_.4F._L",230,50,4189.14,6099.78,890,260,0.115,4189.14,4366.23,4571.27,4748.36,4944.08,5130.48,5316.89,5521.93,5708.33,5894.74,6099.78,55.15,52.05,48.18,44.41,39.43,34.23,28.7,22.39,15.31,8.550000000000001,0.03,0,0
54,"FB056-6E_.4F._L",160,50,2996.16,5354.17,610,185,0.125,2996.16,3219.85,3462.17,3704.5,3928.18,4170.5,4403.51,4645.83,4878.84,5111.84,5354.17,26.04,25.05,23.5,21.84,19.84,17.3,14.64,11.32,7.89,4.24,0.03,0,0
55,"FB056-6E_.4F._L",130,50,1989.58,3853.62,440,125,0.11,1989.58,2175.99,2362.39,2558.11,2744.52,2912.28,3098.68,3303.73,3480.81,3667.21,3853.62,13.31,12.65,11.76,10.88,9.66,8.550000000000001,7.23,5.68,4.02,2.14,0.08,0,0
