IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
2211,"ZR160KCE-TW5",0,0,6.0037,0.1662,0.001058,0.0035711,-0.0052207,0.0020659,3.1765e-05,-6.0077e-05,4.4268e-05,9.668e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2212,"ZR190KCE-TW5",0,0,2.4341,-0.0045024,0.36463,-0.001384,0.0038356,-0.0056932,-4.7128e-05,4.5797e-05,-5.6173e-05,6.7598e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2213,"ZR94KCE-TF7",0,0,2.1382,0.0032438,0.096498,6.5159e-05,0.0002396,-0.00079882,3.1575e-06,-6.5158e-06,-4.467e-06,2.0337e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2214,"ZR108KCE-TF7",0,0,3.0965,0.043027,0.060494,0.00085404,-0.0011982,0.00029719,9.7546e-06,-2.1502e-05,1.4179e-05,1.1269e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2215,"ZR125KCE-TF7",0,0,3.7245,0.067778,0.058284,0.0024915,-0.002621,0.00081027,2.3416e-05,-5.971e-05,3.2231e-05,8.984099999999999e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2216,"ZR144KCE-TF7",0,0,4.1008,0.056804,0.08354,0.0011331,-0.0014607,0.00025549,1.3041e-05,-2.8378e-05,1.4816e-05,1.74e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2217,"ZR160KCE-TF7",0,0,6.0037,0.1662,0.001058,0.0035711,-0.0052207,0.0020659,3.1765e-05,-6.0077e-05,4.4268e-05,9.668e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2218,"ZR190KCE-TW7",0,0,2.4341,-0.0045024,0.36463,-0.001384,0.0038356,-0.0056932,-4.7128e-05,4.5797e-05,-5.6173e-05,6.7598e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2219,"ZR144KCE-TFD",0,0,4.1008,0.056804,0.08354,0.0011331,-0.0014607,0.00025549,1.3041e-05,-2.8378e-05,1.4816e-05,1.74e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2220,"ZR160KCE-TFD",0,0,6.0037,0.1662,0.001058,0.0035711,-0.0052207,0.0020659,3.1765e-05,-6.0077e-05,4.4268e-05,9.668e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2221,"ZR190KCE-TFD",0,0,2.4341,-0.0045024,0.36463,-0.001384,0.0038356,-0.0056932,-4.7128e-05,4.5797e-05,-5.6173e-05,6.7598e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2222,"ZB15KCE-TFD",0,0,0.14111,-0.030385,0.055824,-0.00011677,0.0014872,-0.0009566899999999999,9.865e-06,8.8154e-06,-2.2665e-05,1.3612e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2223,"ZB56KCE-TWD",0,0,3.2945,0.11828,-0.025408,0.003604,-0.004952,0.0026981,3.8279e-05,-8.1029e-05,5.6319e-05,-1.1383e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2224,"ZB75KCE-TWD",0,0,5.1788,0.21369,-0.048316,0.0056681,-0.0069001,0.0034451,5.5513e-05,-0.00011519,7.214499999999999e-05,-1.6451e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2225,"ZB92KCE-TWD",0,0,6.2882,0.24028,-0.052763,0.0066512,-0.0084005,0.0042611,6.7234e-05,-0.00013716,9.3045e-05,-1.9305e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2226,"ZB11MCE-TWD",0,0,7.2432,0.28901,-0.049109,0.008137699999999999,-0.010517,0.0048497,8.1535e-05,-0.00017286,0.0001153,-1.9945e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2227,"ZR94KCE-TFD",0,0,2.1382,0.0032438,0.096498,6.5159e-05,0.0002396,-0.00079882,3.1575e-06,-6.5158e-06,-4.467e-06,2.0337e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2228,"SH090",0,0,1233.5,-14.71,141.78,-0.75249,1.3302,-2.0094,-0.00548,0.014562,-0.015625,0.02549,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
