IDCompressor,Description,Tcmax,Tcmin,Temax,Temin,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,RPSmin,RPSmax,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
9814,"4JE-15Y",60,10,0,-40,81787.4508937541,2982.71180535435,-628.996871690448,39.3429953208168,-18.908838428973,-2.59368137138564,0.198393475943796,-0.17135778009619,-0.0302855526394792,0.0130517010461419,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9815,"4JE-22Y",60,10,12.5,-40,81925.3371899046,3056.07698727284,-663.8196107571169,42.2286517897717,-20.2038214669809,-2.20662833051435,0.227019628981649,-0.204674479140093,-0.0362628155093532,0.00805489811553811,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9816,"4NE-14Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9817,"4NE-20Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9818,"4NES-14Y",60,10,0,-40,72112.3443023922,2757.60890368976,-511.570842672011,38.3610698456703,-16.9835389530137,-3.57857946127812,0.195625289093029,-0.176458948620929,-0.0492516757582523,0.0157010470030286,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9819,"4NES-20Y",60,10,12.5,-40,76784.10154102551,2927.78950352541,-745.267150344707,41.4096326184377,-22.3083909165368,0.009753064971396641,0.225722463743547,-0.209509327037469,-0.008167462350568521,0.000133208802430537,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9820,"4PE-12Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9821,"4PE-15Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9822,"4PES-12Y",60,10,0,-40,63540.9798452962,2415.76852446182,-535.713844025082,33.162745313008,-16.2580428618729,-2.03138497899638,0.169020895168279,-0.151468454216668,-0.0278870596447144,0.0120583452146532,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9823,"4PES-15Y",60,10,12.5,-40,65694.5042598217,2519.47705703657,-645.426785143662,35.6972128064517,-19.0412802056888,-0.358338492023873,0.194893748044021,-0.178549002094144,-0.0119983516369532,0.00357799042772444,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9824,"4TE-12Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9825,"4TE-9Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9826,"4TES-12Y",60,10,12.5,-40,56388.1335394395,2149.986082735,-549.116134057891,30.3400892650315,-16.4706513393922,0.0249581986513068,0.164456685669357,-0.154967992794917,-0.00502141612480663,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9827,"4TES-9Y",60,10,0,-40,55979.6823172286,2095.03740851234,-538.304183814715,28.2048955940787,-15.7452403456522,-0.0634337608794273,0.141871391499791,-0.134665491160549,-0.000865834349077183,0.00151373272935567,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9828,"4VE-10Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9829,"4VE-7Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9830,"4VES-10Y",60,10,12.5,-40,47186.3645524153,1804.81133703185,-463.618397052797,25.4659951371288,-13.8218888556586,-0.102713675624702,0.13774770848551,-0.130099024750149,-0.00551757826081151,0.00126228296982473,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9831,"4VES-7Y",60,10,0,-40,47946.8794624659,1785.15710801846,-517.482217733684,23.7081661668869,-14.4675624867077,0.824319757244362,0.118440456327645,-0.115056180404468,0.0114631629842957,-0.00161544127771885,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9832,"6FE-44Y",60,10,0,-40,193760.741849836,7173.84471793417,-1501.28244717582,95.9427313011593,-52.303730111518,-4.86531652177802,0.460109423972784,-0.5545148095715799,-0.0464665043298502,0.0134113845464413,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9833,"6FE-50Y",60,10,12.5,-40,194850.785777942,7408.11185091028,-1606.57936556848,103.62057650123,-57.6125770048719,-3.65932753962209,0.52012654352786,-0.673788332323023,-0.0518057669479895,-0.000170149826936821,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9834,"6GE-34Y",60,10,0,-40,164479.111131399,5958.46620228044,-1508.8093232408,78.6222431634548,-44.8022979603374,2.08601457993176,0.380316664972171,-0.428890950117802,-0.008153270832987969,-0.0315931379597544,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9835,"6GE-40Y",60,10,12.5,-40,164954.624499535,6134.23450128798,-1623.90469362583,84.29448979189431,-49.1618745930844,3.1397661366698,0.42810213302205,-0.508843318678353,-0.00520952559214593,-0.0399232060461878,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9836,"6HE-28Y",60,10,0,-40,140981.062608448,5117.75974125532,-1172.72256252368,67.5058975586267,-34.4823258649094,-1.8542888786281,0.336890802952985,-0.313602484401561,-0.0320758055776157,0.00273448022835898,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
