IdCompModel,Model,IdCostruttore,IdTipoCompr,IdUtilizzo,IdModalita,IdsFreon,Point,IDAl,FattoreCorrettivo,SHRif,SCRif,TempCondRif,TempEvapRif,Eq10Coef,CompressorUID,CalibrationFactor,CalibrationMode,NominalPower,SH,SC,SHMode,SortPosition,UnilabStandard,OriginalGUID,LastModified,OriginalLastModified,Limiti,PartLoad
66,"ZR40K3E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"E313904B-DE5D-4CD1-97AE4CBDFEF2C8DF",0.9694312214851379,2,9.300000190734863,5,2,0,7,1,,"20090226 105426",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
67,"ZR48K3E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"17E43E51-7971-4BD3-8B86979B74ACC6C5",0.9329583644866943,2,11.4,5,2,0,8,1,,"20090226 105446",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
68,"ZR28K3E-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"0790469D-5876-4146-999B4C7C2AAA05FF",0.9977028965950012,2,6.6,5,2,0,1,1,,"20090226 105646",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
69,"ZR34K3E-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"1C0C0169-9D7F-404B-8A80B89B6517B51D",0.9276227951049805,2,7.9,5,2,0,2,1,,"20090226 105708",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
70,"ZR40K3E-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"4377378F-D101-4D08-A039D01706F0C087",0.9800000190734863,2,9.199999809265137,5,2,0,3,1,,"20060921 162517",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
71,"ZR48K3E-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"2045F0FF-91CA-4A6C-A2F5A7466CF2FA77",0.9761022925376892,2,11.30000019073486,5,2,0,4,1,,"20090226 105740",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
72,"ZR61KCE-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"9BDEBCE8-8E9A-4935-A3E124E2F470AB39",0.9720747470855713,2,13.89999961853027,5,2,0,5,1,,"20090226 105757",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
73,"ZR72KCE-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"07655923-2907-4AF3-912EC992A6D9F9FB",0.9449762105941772,2,16.6,5,2,0,6,1,,"20090226 105816",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
74,"ZR81KCE-TF5",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"27F320B8-507C-433C-A42D5CDA6934AE09",0.9568915963172913,2,18.39999961853027,5,2,0,7,1,,"20090226 105843",,"-21.3;30;15.2;30;14.3;67;1.81;67;-21.4;42.5",0
75,"ZR90K3E-TWC",1,1,4,17,45,1,5,0,11.11111068725586,8.333333015441895,38,3.5,1,"BBFD3E33-13E0-4AA0-9AC150F6AD7E0C14",0.949999988079071,2,20.89999961853027,5,2,0,8,1,,"20060921 162517",,"-24;10;-3.86;10;15;30;15;68;3.13;68;-24;40",0
