CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
41,1,1,"S","072512_P_S",12.5,25,7.2,0.35,0.1,0,0.95,1,1,1,1,"072512_P_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
42,1,1,"S","102512_C_D",12.5,25,9.539999999999999,0.35,0.1,0,1.15,1,1.45,1.55,1,"102512_C_D",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
44,1,1,"S","102512_C_S",12.5,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102512_C_S",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
45,1,1,"S","102522_C_D",21.65,25,9.539999999999999,0.35,0.1,0,1.15,1,1.45,1.55,1,"102522_C_D",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
47,1,1,"S","102522_C_S",21.65,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102522_C_S",1.25,1,1,1,1,1,1,0.6,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
49,1,1,"S","102522_S_G",21.65,25,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"102522_S_G",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
50,1,1,"S","102522_S_S",21.65,25,9.539999999999999,0.35,0.1,0,1,1,1,1,1,"102522_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
52,1,1,"S","102522_P_G",21.65,25,9.539999999999999,0.35,0.1,0,0.95,1,1.25,1.35,1,"102522_P_G",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
53,1,1,"S","102522_P_S",21.65,25,9.539999999999999,0.35,0.1,0,0.95,1,1,1,1,"102522_P_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
55,1,1,"Q","102525_C_G",25,25,9.539999999999999,0.35,0.1,0,1.15,1,1.25,1.35,1,"102525_C_G",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
56,1,1,"Q","102525_C_S",25,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102525_C_S",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
58,1,1,"Q","103535_S_G",35,35,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"103535_S_G",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
60,1,1,"S","133832_C_D",32.48,37.5,12.7,0.35,0.1,0,1.15,1,1.45,1.55,1,"133832_C_D",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
61,1,1,"S","133832_C_G",32.48,37.5,12.7,0.35,0.1,0,1.15,1,1.25,1.35,1,"133832_C_G",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
63,1,1,"S","072512_S_G",12.5,25,7.2,0.35,0.1,0,1,1,1.25,1.35,1,"072512_S_G",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
